column,title,description,unit,source
country,Country,Geographic location.,,Our World in Data - Regions (2025)
year,Year,Year of observation.,,Our World in Data - Regions (2025)
iso_code,ISO code,ISO 3166-1 alpha-3 three-letter country codes.,,International Organization for Standardization - Regions (2023)
population,Population,"Population by country, available from 10,000 BCE to 2100, based on data and estimates from different sources.",people,Population based on various sources (2024) [https://ourworldindata.org/population-sources]
gdp,Gross domestic product (GDP),Total economic output of a country or region per year. This data is adjusted for inflation and differences in living costs between countries.,international-$ in 2011 prices ($),Bolt and van Zanden – Maddison Project Database 2023 [https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2023]
coal_cons_change_pct,Annual percentage change in coal consumption,,%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
coal_cons_change_twh,Annual change in coal consumption,,terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
coal_cons_per_capita,Coal consumption per capita,Measured in kilowatt-hours per person.,kilowatt-hours (kWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2024) [https://ourworldindata.org/population-sources]
coal_consumption,Primary energy consumption from coal,Measured in terawatt-hours.,terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
coal_elec_per_capita,Electricity generation from coal per person,Measured in kilowatt-hours per person.,kilowatt-hours (kWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2024) [https://ourworldindata.org/population-sources]
coal_electricity,Electricity generation from coal,Measured in terawatt-hours.,terawatt-hours (TWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
coal_prod_change_pct,Annual change in coal production,Measured as a percentage of the previous year's production.,%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]; The Shift Data Portal - Energy production from fossil fuels (2019) [https://www.theshiftdataportal.org/]
coal_prod_change_twh,Annual change in coal production,Measured in terawatt-hours.,terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]; The Shift Data Portal - Energy production from fossil fuels (2019) [https://www.theshiftdataportal.org/]
coal_prod_per_capita,Coal production per capita,Measured in kilowatt-hours per capita.,kilowatt-hours (kWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]; The Shift Data Portal - Energy production from fossil fuels (2019) [https://www.theshiftdataportal.org/]; Population based on various sources (2024) [https://ourworldindata.org/population-sources]
coal_production,Coal production,Measured in terawatt-hours.,terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]; The Shift Data Portal - Energy production from fossil fuels (2019) [https://www.theshiftdataportal.org/]
coal_share_elec,Share of electricity generated by coal,Measured as a percentage of total electricity produced in the country or region.,%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
coal_share_energy,Share of primary energy consumption that comes from coal,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
fossil_cons_change_pct,Annual percentage change in fossil fuel consumption,,%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
fossil_cons_change_twh,Annual change in fossil fuel consumption,,terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
fossil_elec_per_capita,Electricity generation from fossil fuels per person,"Electricity generation from coal, oil, and gas, measured in kilowatt-hours per person.",kilowatt-hours (kWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2024) [https://ourworldindata.org/population-sources]
fossil_electricity,Electricity generation from fossil fuels,"Electricity generation from coal, oil, and gas, measured in terawatt-hours.",terawatt-hours (TWh),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
fossil_energy_per_capita,Fossil fuel consumption per capita,Measured in kilowatt-hours per person.,kilowatt-hours (kWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]; Population based on various sources (2024) [https://ourworldindata.org/population-sources]
fossil_fuel_consumption,Primary energy consumption from fossil fuels,Measured in terawatt-hours.,terawatt-hours (TWh),Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
fossil_share_elec,Share of electricity generated by fossil fuels,"Electricity generation from coal, oil, and gas, measured as a percentage of total electricity produced in the country or region.",%,Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
fossil_share_energy,Share of primary energy consumption that comes from fossil fuels,"Measured as a percentage of the total primary energy, using the substitution method.",%,Energy Institute - Statistical Review of World Energy (2025) [https://www.energyinst.org/statistical-review/]
greenhouse_gas_emissions,Lifecycle emissions from electricity generation,Measured in megatonnes of CO₂ equivalents.,million tonnes CO₂ equivalents (Mt),Ember - Yearly Electricity Data Europe (2026) [https://ember-energy.org/data/yearly-electricity-data/]; Ember - Yearly Electricity Data (2026) [https://ember-energy.org/data/yearly-electricity-data/]
